id,brand,inbound_text,reply_text,intent,safety_flag,auto_or_escalate,reason,reference_reply
20601,British_Airways,Great view of London at night from @British_Airways on the way to @119137 :D https://t.co/3mslxPd49X,"@120500 What a gorgeous photo, Johnathan! Thanks for sharing. ^Alex",,,,,
45859,British_Airways,@British_Airways I had to make the twitter account to talk to you. I haven't heard from customer relation for over 14days about compensation,"@126170 We're sorry you've had to create a Twitter account just to ask about the status of your claim, Eunhee. However, our Customer Relations 1/3",,,,,
1161303,British_Airways,thanks @British_Airways for putting me on to my new favorite cookies https://t.co/Q5KBJX361w,"@393215 A very nice biscuit indeed, Kimmy! ^Davina",,,,,
121769,British_Airways,"Great job @British_Airways. Twice tonight your so called Customer Service staff have hung up on me.The second person told me his shift was up when I rang, &amp; when I questioned the lack of service in the centres the past 4 wks he said you've probably been talking to me then hung up https://t.co/1EEsa4rYHD","@143130 Hi Judith, this is disappointing to hear. Please DM us your query along with your booking reference, email address and contact number and we can see if we can help. ^Natalie",,,,,
1156971,British_Airways,How can I apply for a British transit visa from Italy with an Indian citizenship? @British_Airways Please could you guide me? #Urgent,"@369896 Hi Rohit. Regrettably, we're unable to offer advice on visa and entry requirements. You'll be able to find out more by contacting the 1/3",,,,,
2250602,British_Airways,"Once again can always rely on @British_Airways to sort me out with the last minute Christmas flight. Wouldn't fly with anyone else, roll on London.","@655683 Hi Megan, we're so pleased you're all booked up for Christmas, and that we were able to help. Have a great flight to London. ^Lindy",,,,,
2383521,British_Airways,@British_Airways I just spent 20 min trying to combine my avios through customer service. Everything is the same but it won't go through,"@687082 Hi Carla, if you still need our help, please DM us your Executive Club number, email and home address? Thanks. ^Jane",,,,,
1992427,British_Airways,@British_Airways Hi i have already checked into a flight but now have no option to add baggage. Can you help?,"@236546 Hi Stephen. If you're already checked in, the only way to add an extra bag is at the airport and the applicable charges will apply. ^Kev",,,,,
2035872,British_Airways,@British_Airways I keep trying to add my booking on the app but getting this back? https://t.co/HZ9V3hZCIq,"@555476 Hi Andrew, could you DM your Executive Club number, address and email with the booking reference you're adding? We'll link them. ^Kimbers",,,,,
2651609,British_Airways,@British_Airways How do I claim my Avios if I have two last names and only use one of them when booking? It keeps saying it doesn't recognise my name!,"@139400 Hi Elsa, your Executive Club account and the ticket must match, or this will never happen automatically and you'll need to request them for each flight. I'd recommend changing your Executive Club name to what you book under! ^Kimbers",,,,,
2109227,British_Airways,"Hi BA, survey page crashed twice. So unable to complete survey @British_Airways https://t.co/2IVpfxZtV7","@622280 Hi there, I'm concerned to see this. We will get this reported to our I.T team. ^Tom",,,,,
2160073,British_Airways,I'll let you off @British_Airways for moving my seat....3 seats between 2 for a 10hr flight....love it.  LHR-MSY #comfortzone https://t.co/uhGn8mSBM7,"@634424 We're pleased we're back in your good books, Allan. Enjoy your flight. ^Linda",,,,,
2584026,British_Airways,Maybe one day @British_Airways flights will actually run on time?,@732264 I hope you weren't too delayed Laurie.  Did they say what caused the delay?  ^Jools,,,,,
2743952,British_Airways,"Dunno what everyone's beef at this from @British_Airways is...??? Means more time in the airport pub #winning 
https://t.co/ni2HZg8dqd",@736596 Cheers Rolf. ^Gill,,,,,
978135,British_Airways,@British_Airways can I guarantee bulkhead seats in Econ. if booking via your app?,"@339308 Hi there. You can certainly book your bulkhead seat through the app. However, 1/2",,,,,
977508,British_Airways,"@British_Airways Hi! I'm flying from UVF to LGW today, and forgot to mention my cheese allergy when booking... can you help?","@351838 As the catering will have already been ordered for the flight, we're limited as to what we can do. You may want to mention 1/2",,,,,
2609820,British_Airways,@British_Airways ridiculous safety demo on BA 8704! Two staff demoing from row 1 and row 3! Us poor folks from 20 back can’t see a thing! Why bother....at the least the couple of guys in Business Class got their own demo!!!_,"@426726 We're sorry to hear about your recent experience, Jon. We'll be sure to feed this back to our Customer Experience team. ^Cody",,,,,
256173,British_Airways,When did @british_airways start acting like a budget airline? Poor show.,@176939 Hi Chris.  We're concerned to hear you feel this way.  Could you explain what has gone wrong for you? ^N,,,,,
1153960,British_Airways,@British_Airways have all Dublin - London flights been cancelled tmrw?,"@391498 Hi, all flights are currently set to depart as scheduled but there may be some disruption. You will be contacted directly using the details",,,,,
